Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
;Ruth Sargent;Ruth;Sargent;;;;;;;;;ruthsargent@nixelt.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;; ;Branding:comment valoriser votre marque par COULEUR VELVET**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Brennan Vence;Brennan;Vance;;;;;;;;;brennanvance@fangold.com;;;;;;;;;;;;Storytelling**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**; ;Storytelling**;;; ;;
;Medina Barr;Medina;Barr;;;;;;;;;medinabarr@orbin.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;; ;Storytelling**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;; ;;
;Lily Johnson;Lily;Johnson;;;;;;;;;lilyjohnson@elpro.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Kayak; ;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;; ;;
;Dona Olsen;Dona;Olsen;;;;;;;;;donaolsen@supremia.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;; ;Paddle;Yoga par ETOILES DES SABLES**;;; ;;
;Jayne Cameron;Jayne;Cameron;;;;;;;;;jaynecameron@geekmosis.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Paddle**;  ;Biodiversité & Environnement par CPIE**;;; ;;
;Nadine Beck;Nadine;Beck;;;;;;;;;nadinebeck@nitracyr.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;; ;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Atelier des sens par LES CONFISERIES FLORIAN**;;; ;;
;Flowers Shelton;Flowers;Shelton;;;;;;;;;flowersshelton@exerta.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**; ;Poker par ALPHA CONSEILS**;;; ;;
;Christi Browning;Christi ;Browning;;;;;;;;;christibrowning@zytrek.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;; ;Whimsifoil : volez au-dessus de l'eau !;Massage (contre 1 jeton)**;;; ;;
;Gregory Mullins;Gregory;Mullins;;;;;;;;;gregorymullins@geeky.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Whimsifoil : volez au-dessus de l'eau !; ;Basket par O'SOL**;;; ;;
;Jennings Herring;Jennings;Herring;;;;;;;;;jenningsherring@aquafire.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;; ;Storytelling**;Pétanque par BLEU BEACON**;;; ;;
;Mcdaniel Herman;Mcdaniel;Herman;;;;;;;;;mcdanielherman@isoternia.com;;;;;;;;;;;;Kayak**;;;;;Whimsifoil : volez au-dessus de l'eau !; ;Kayak;;; ;;
;Ruby Norman;Ruby;Norman;;;;;;;;;rubynorman@netplode.com;;;;;;;;;;;;Paddle**;;;;; ;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Paddle**;;; ;;
;Francisca Calderon;Francisca ;Calderon;;;;;;;;;franciscacalderon@hawkster.com;;;;;;;;;;;;Tir à l'arc**;;;;;Casse-tete par Enigm'art**; ;Tir à l'arc**;;; ;;
;Acosta Thompson;Acosta;Thompson;;;;;;;;;acostathompson@fibrodyne.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;; ;Assurance par GAN**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;; ;;
;Dejesus Hays;Dejesus;Hays;;;;;;;;;dejesushays@oceanica.com;;;;;;;;;;;;Assurance par GAN**;;;;;Référencement Google par BRAINY UP**;  ;Assurance par GAN;;; ;;
;Herminia Benson;Herminia;Benson;;;;;;;;;herminiabenson@ovium.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;; ;Réseaux Sociaux**;Comptabilité Gestion par PEPIT**;;; ;;
;Alison Mercer;Alison ;Mercer;;;;;;;;;alisonmercer@flum.com;;;;;;;;;;;;Météo: Selerys;;;;;Kayak; ;Météo: Selerys**;;; ;;
;Miranda Alvarez;Miranda;Alvarez;;;;;;;;;mirandaalvarez@eplosion.com;;;;;;;;;;;;Réseaux Sociaux**;;;;; ;Météo par SELERYS;Réséaux Sociaux**;;; ;;
;Lowe Goodwin;Lowe;Goodwin;;;;;;;;;lowegoodwin@interloo.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**; ;Création et quizz parfum par MOLINARD et ROBERTET**;;; ;;
;June Kelley;June;Kelley;;;;;;;;;junekelley@vantage.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;  ;Whimsifoil : volez au-dessus de l'eau !;Droit de l'innovation TBC;;;Whimsifoil: volez au dessus de l'eau!**;;
;Leslie Guy;Leslie;Guy;;;;;;;;;leslieguy@evidends.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Kayak; ;Droit de l'innovation TBC;;; ;;
;Inez Ellis;Inez;Ellis;;;;;;;;;inezellis@ontagene.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Casse-tete par Enigm'art**;Charisme et Leadership**;Référencement Google par BRAINY UP**;;; ;;
;Yvonne Sandoval;Yvonne;Sandoval;;;;;;;;;yvonnesandoval@zilla.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;;Charisme et Leadership**;Massage (contre 1 jeton)**;;;Droit de l'innovation TBC**;;
;Tanner Short;Tanner;Short;;;;;;;;;tannershort@flotonic.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Ping-Pong**;;Massage (contre 1 jeton)**;;;Droit de l'innovation TBC**;;
;French Branch;French;Branch;;;;;;;;;frenchbranch@accidency.com;;;;;;;;;;;;Kayak**;;;;;Référencement Google par BRAINY UP**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Massage (contre 1 jeton)**;;;Charisme et Leadership**;;
;Araceli Silva;Araceli;Silva;;;;;;;;;aracelisilva@eargo.com;;;;;;;;;;;;Paddle**;;;;;Quiz Cinéma par ADASTRA FILMS**;Assurance par GAN**;Charisme et Leadership;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Bianca Jarvis;Bianca;Jarvis;;;;;;;;;biancajarvis@golistic.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**; ;Charisme et Leadership;;;Ping-Pong;;
;Neal Goodman;Neal;Goodman;;;;;;;;;nealgoodman@kraggel.com;;;;;;;;;;;;Tir à l'arc**;;;;;Storytelling**; ;Ping-Pong;;;Référencement Google par BRAINYUP**;;
;Sellie Hill;Sellie;Hill;;;;;;;;;salliehill@vertide.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**; ;Ping-Pong;;;Référencement Google par BRAINYUP**;;
;Michele Lawrence;Michele;Lawrence;;;;;;;;;michelelawrence@toyletry.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Ping-Pong**;Basket par O'SOL**;;;Référencement Google par BRAINYUP**;;
;Forbes Reilly;Forbes;Reilly;;;;;;;;;forbesreilly@geekosis.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Yoga par ETOILES DES SABLES**;Basket par O'SOL**;;;Ping-Pong;;
;Sargent Rice;Sargent;Rice;;;;;;;;;sargentrice@lumbrex.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Yoga par ETIOLES DES SABLES**;Biodiversité & Environnement par le CPIE**;Massage (contre 1 jeton)**;;;Ping-Pong;;
;Potts Patterson;Potts;Patterson;;;;;;;;;pottspatterson@terragen.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Biodiversité & Environnement par le CPIE**;Météo par SELERYS;Réséaux Sociaux**;;;Massage(contre 1 jeton)**;;
;Lindsey Blair;Lindsey;Blair;;;;;;;;;lindseyblair@elita.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Poker par ALPHA CONSEILS**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Massage(contre 1 jeton)**;;
;Stephens Bruce;Stephens;Bruce;;;;;;;;;stephensbruce@techmania.com;;;;;;;;;;;;Kayak**;;;;;Poker par ALPHA CONSEILS**;Massages (contre 1 jeton !);Création et quizz parfum par MOLINARD et ROBERTET**;;;Droit de l'innovation TBC**;;
;Kelsey Page;Kelsey;Page;;;;;;;;;kelseypage@cosmosis.com;;;;;;;;;;;;Paddle**;;;;;Massages( atelier contre 1 jeton)**;Basket par O'SOL**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Droit de l'innovation TBC**;;
;Mcneil Dennis;Mcneil;Dennis;;;;;;;;;mcneildennis@emtrac.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Basket par O'SOL**;Pétanque par BLUE BEACON**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Comptabilité Gestion par PEPIT**;;
;Francine Cote;Francine;Cote;;;;;;;;;francinecote@biospan.com;;;;;;;;;;;;Ping-Pong**;;;;;Pétanque par BLUE BEACON;Kayak**;Biodiversité & Environnement par CPIE**;;;Comptabilité Gestion par PEPIT**;;
;Owen Campos;Owen ;Campos;;;;;;;;;owencampos@zentury.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Kayak;Paddle;Biodiversité & Environnement par CPIE**;;;Comptabilité Gestion par PEPIT**;;
;Alexis Yang;Alexis;Yang;;;;;;;;;alexisyang@autograte.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Paddle**;Tir à l'arc**;Biodiversité & Environnement par CPIE**;;;Météo: Selerys**;;
;Burns Frank;Burns;Frank;;;;;;;;;burnsfrank@undertap.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Tir à l'arc**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Whimsifoil: volez au-dessus de l'eau!**;;;Météo: Selerys**;;
;Thornton Ball;Thornton;Ball;;;;;;;;;thorntonball@austex.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN**;Whimsifoil: volez au-dessus de l'eau!**;;;Casse-tete par Enigm'art**;;
;Jo Delgado;Jo;Delgado;;;;;;;;;jodelgado@ecolight.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Assurance par GAN**;Comptabilité Gestion par PEPIT**;Whimsifoil: volez au-dessus de l'eau!**;;;Casse-tete par Enigm'art**;;
;Erin Ruiz;Erin;Ruiz;;;;;;;;;erinruiz@zeam.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Comptabilité Gestion par PEPIT**; ;Whimsifoil: volez au-dessus de l'eau!**;;;Casse-tete par Enigm'art**;;
;Powell Travis;Powell;Travis;;;;;;;;;powelltravis@poshome.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Météo: Selerys**;Réseaux Sociaux**;Whimsifoil: volez au-dessus de l'eau!**;;;Kayak;;
;Mcdonald Kid;Mcdonald;Kid;;;;;;;;;mcdonaldkidd@idego.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Réseaux Sociaux**;Création et quizz parfum par MOLINARD et ROBERTET**;Droit de l'innovation TBC;;;Ping-Pong;;
;Wise Burt;Wise;Burt;;;;;;;;;wiseburt@gazak.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Whimsifoil : volez au-dessus de l'eau !;Droit de l'innovation TBC;;;Référencement Google par BRAINYUP**;;
;Regina Oneill;Regina;Oneill;;;;;;;;;reginaoneill@mobildata.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Whimsifoil : volez au-dessus de l'eau !;Droit de l'innovation TBC**;Casse-tete par Enigm'art**;;;Référencement Google par BRAINYUP**;;
;Chaney Walls;Chaney;Walls;;;;;;;;;chaneywalls@corporana.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Whimsifoil : volez au-dessus de l'eau !;Casse- tete par Enigm'art**;Basket par O'SOL**;;;Référencement Google par BRAINYUP**;;
;Diana Stanton;Diana;Stanton;;;;;;;;;dianastanton@digitalus.com;;;;;;;;;;;;Kayak**;;;;;Droit de l'innovation TBC**;Charisme et Leadership**;Basket par O'SOL**;;; ;;
;West Shepard;West;Shepard;;;;;;;;;westshepard@trollery.com;;;;;;;;;;;;Paddle**;;;;;Casse-tete par Enigm'art**;Ping-Pong**;Basket par O'SOL**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Carly Armstrong;Carly;Armstrong;;;;;;;;;carlyarmstrong@stelaecor.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Charisme et Leadership**;Référencement Google par BRAINY UP**;Paddle**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Sophie Nieves;Sophie;Nieves;;;;;;;;;sophienieves@buzzopia.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Ping-Pong**;Quiz Cinéma par ADASTRA FILMS**;Paddle**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Warner Osborne;Warner;Osborne;;;;;;;;;warnerosborne@uxmox.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Référencement Google par BRAINY UP**;Branding:comment valoriser votre marque par COULEUR VELVET**;Kayak;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Nunez Wilkerson;Nunez;Wilkerson;;;;;;;;;nunezwilkerson@injoy.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Quiz Cinéma par ADASTRA FILMS**;Storytelling**;Création et quizz parfum par MOLINARD et ROBERTET**;;; ;;
;Travis Irwin;Travis ;Irwin;;;;;;;;;travisirwin@xanide.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Storytelling**;;;Biodiversité & Environnement par CPIE**;;
;Meagan Burns;Meagan;Burns;;;;;;;;;meaganburns@filodyne.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Storytelling**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Biodiversité & Environnement par CPIE**;;
;Lauri Petersen;Lauri;Petersen;;;;;;;;;lauripetersen@zaya.com;;;;;;;;;;;;Ping-Pong**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Yoga par ETOILES DES SABLES**;Storytelling**;;;Biodiversité & Environnement par CPIE**;;
;Church Whitley;Church;Whitley;;;;;;;;;churchwhitley@newcube.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Biodiversité & Environnement par le CPIE**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Comptabilité Gestion par PEPIT**;;
;Vanessa Marsh;Vanessa ;Marsh;;;;;;;;;vanessamarsh@bezal.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Yoga par ETIOLES DES SABLES**;Atelier des sens par LES CONFISERIES FLORIAN**;Storytelling**;;;Comptabilité Gestion par PEPIT**;;
;Celine Holmes;Celine;Holmes;;;;;;;;;celinaholmes@isopop.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Biodiversité & Environnement par le CPIE**;Poker par ALPHA CONSEILS**;Droit de l'innovation TBC;;;Quiz Cinéma par ADASTRA FILMS**;;
;Elba Sharp;Elba;Sharp;;;;;;;;;elbasharp@fiberox.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Massages (contre 1 jeton !);Réséaux Sociaux**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Gordon Donaldson;Gordon;Donaldson;;;;;;;;;gordondonaldson@silodyne.com;;;;;;;;;;;;Storytelling**;;;;;Poker par ALPHA CONSEILS**;Basket par O'SOL**;Réséaux Sociaux**;;; ;;
;Marian Rodriquez;Marian;Rodriquez;;;;;;;;;marianrodriquez@recritube.com;;;;;;;;;;;;Storytelling**;;;;;Massages( atelier contre 1 jeton)**;Pétanque par BLUE BEACON**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Bird Hanson;Bird;Hanson;;;;;;;;;birdhanson@pholio.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Basket par O'SOL**;Kayak**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Payne Hahn;Payne;Hahn;;;;;;;;;paynehahn@daycore.com;;;;;;;;;;;;Paddle**;;;;;Basket par O'SOL**;Paddle;Atelier des sens par LES CONFISERIES FLORIAN**;;;Kayak;;
;Kinney Santos;Kinney;Santos;;;;;;;;;kinneysantos@zolarity.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Pétanque par BLUE BEACON;Tir à l'arc**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Kayak;;
;Vicki Potts;Vicki;Potts;;;;;;;;;vickipotts@glasstep.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Kayak;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN;;;Whimsifoil: volez au dessus de l'eau!**;;
;Elnora Murray;Elnora;Murray;;;;;;;;;elnoramurray@sarasonic.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Paddle**;Assurance par GAN**;Atelier des sens par LES CONFISERIES FLORIAN**;;;Whimsifoil: volez au dessus de l'eau!**;;
